Sample,Replicate,Site,Treatment,Month,Temp,PAR,FvFm,ETR,Yield,qP,qN
Vau_K_01,1,Kampen,Field,July,19.64,11,0.549,2.5,0.531,0.867,0.063
Vau_K_01,1,Kampen,Field,July,19.64,60,0.549,17,0.673,1,0
Vau_K_01,1,Kampen,Field,July,19.64,100,0.549,21.8,0.52,0.867,0.032
Vau_K_01,1,Kampen,Field,July,19.64,170,0.549,40,0.56,0.966,0.033
Vau_K_01,1,Kampen,Field,July,19.64,270,0.549,63.8,0.563,0.964,0.097
Vau_K_01,1,Kampen,Field,July,19.64,420,0.549,122.7,0.696,1,0.167
Vau_K_01,1,Kampen,Field,July,19.64,600,0.549,126,0.5,0.885,0.161
Vau_K_01,1,Kampen,Field,July,19.64,970,0.549,208.7,0.512,1,0.323
Vau_K_01,1,Kampen,Field,July,19.64,1410,0.549,249.3,0.421,0.842,0.406
Vau_K_01,1,Kampen,Field,July,19.64,2110,0.549,126.6,0.143,0.313,0.5
Vau_K_01,1,Kampen,Field,July,19.64,3210,0.549,174,0.129,0.286,0.588
Vau_K_02,2,Kampen,Field,July,17.05,11,0.471,2.2,0.474,1,0
Vau_K_02,2,Kampen,Field,July,17.05,60,0.471,12.6,0.5,0.909,0
Vau_K_02,2,Kampen,Field,July,17.05,100,0.471,22.9,0.545,0.923,0
Vau_K_02,2,Kampen,Field,July,17.05,170,0.471,37.4,0.524,0.917,0
Vau_K_02,2,Kampen,Field,July,17.05,270,0.471,59.4,0.524,0.917,0
Vau_K_02,2,Kampen,Field,July,17.05,420,0.471,68.6,0.389,0.7,0
Vau_K_02,2,Kampen,Field,July,17.05,600,0.471,118.6,0.471,1,0
Vau_K_02,2,Kampen,Field,July,17.05,970,0.471,163,0.4,1,0.25
Vau_K_02,2,Kampen,Field,July,17.05,1410,0.471,182.2,0.308,0.8,0.444
Vau_K_02,2,Kampen,Field,July,17.05,2110,0.471,68.2,0.077,0.2,0.444
Vau_K_02,2,Kampen,Field,July,17.05,3210,0.471,490.3,0.364,1,0.667
Vau_K_03,3,Kampen,Field,July,17.05,11,0.533,2.6,0.571,1,0.111
Vau_K_03,3,Kampen,Field,July,17.05,60,0.533,13.4,0.533,1,0
Vau_K_03,3,Kampen,Field,July,17.05,100,0.533,21,0.5,0.875,0.111
Vau_K_03,3,Kampen,Field,July,17.05,170,0.533,42.8,0.6,1,0
Vau_K_03,3,Kampen,Field,July,17.05,270,0.533,56.7,0.5,0.875,0.111
Vau_K_03,3,Kampen,Field,July,17.05,420,0.533,75.6,0.429,0.75,0.111
Vau_K_03,3,Kampen,Field,July,17.05,600,0.533,126,0.5,1,0.375
Vau_K_03,3,Kampen,Field,July,17.05,970,0.533,203.7,0.5,0.875,0.111
Vau_K_03,3,Kampen,Field,July,17.05,1410,0.533,118.4,0.2,0.5,0.556
Vau_K_03,3,Kampen,Field,July,17.05,2110,0.533,177.2,0.2,0.5,0.556
Vau_K_03,3,Kampen,Field,July,17.05,3210,0.533,337.1,0.25,1,0.778
Vau_K_04,4,Kampen,Field,July,17.05,11,0.429,2.2,0.476,0.909,0
Vau_K_04,4,Kampen,Field,July,17.05,60,0.429,14.4,0.571,1,0
Vau_K_04,4,Kampen,Field,July,17.05,100,0.429,16.8,0.4,0.8,0.091
Vau_K_04,4,Kampen,Field,July,17.05,170,0.429,35.7,0.5,1,0.091
Vau_K_04,4,Kampen,Field,July,17.05,270,0.429,46.7,0.412,1,0.364
Vau_K_04,4,Kampen,Field,July,17.05,420,0.429,62.3,0.353,0.857,0.364
Vau_K_04,4,Kampen,Field,July,17.05,600,0.429,84,0.333,0.75,0.273
Vau_K_04,4,Kampen,Field,July,17.05,970,0.429,152.8,0.375,1,0.455
Vau_K_04,4,Kampen,Field,July,17.05,1410,0.429,197.4,0.333,0.833,0.5
Vau_K_04,4,Kampen,Field,July,17.05,2110,0.429,136.3,0.154,0.4,0.615
Vau_K_04,4,Kampen,Field,July,17.05,3210,0.429,122.6,0.091,0.333,0.769
Vau_K_05,5,Kampen,Field,July,18.33,11,0.723,3.6,0.778,1,0.057
Vau_K_05,5,Kampen,Field,July,18.33,60,0.723,17.8,0.705,0.969,0.086
Vau_K_05,5,Kampen,Field,July,18.33,100,0.723,29.6,0.705,0.969,0.086
Vau_K_05,5,Kampen,Field,July,18.33,170,0.723,50.3,0.705,0.969,0.086
Vau_K_05,5,Kampen,Field,July,18.33,270,0.723,79.1,0.698,1,0.118
Vau_K_05,5,Kampen,Field,July,18.33,420,0.723,114.7,0.65,0.929,0.2
Vau_K_05,5,Kampen,Field,July,18.33,600,0.723,148.6,0.59,0.852,0.229
Vau_K_05,5,Kampen,Field,July,18.33,970,0.723,209.5,0.514,0.783,0.343
Vau_K_05,5,Kampen,Field,July,18.33,1410,0.723,245,0.414,0.706,0.514
Vau_K_05,5,Kampen,Field,July,18.33,2110,0.723,201.4,0.227,0.455,0.694
Vau_K_05,5,Kampen,Field,July,18.33,3210,0.723,283.8,0.211,0.5,0.778
Vau_K_06,6,Kampen,Field,July,18.33,11,0.71,3.3,0.724,1,0.095
Vau_K_06,6,Kampen,Field,July,18.33,60,0.71,18.4,0.73,1,0
Vau_K_06,6,Kampen,Field,July,18.33,100,0.71,29.2,0.694,0.962,0
Vau_K_06,6,Kampen,Field,July,18.33,170,0.71,49,0.686,0.96,0
Vau_K_06,6,Kampen,Field,July,18.33,270,0.71,80,0.706,1,0
Vau_K_06,6,Kampen,Field,July,18.33,420,0.71,117.6,0.667,0.957,0
Vau_K_06,6,Kampen,Field,July,18.33,600,0.71,149.6,0.594,0.905,0
Vau_K_06,6,Kampen,Field,July,18.33,970,0.71,238.8,0.586,0.895,0.095
Vau_K_06,6,Kampen,Field,July,18.33,1410,0.71,257.5,0.435,0.769,0.381
Vau_K_06,6,Kampen,Field,July,18.33,2110,0.71,344.6,0.389,0.875,0.619
Vau_K_06,6,Kampen,Field,July,18.33,3210,0.71,192.6,0.143,0.333,0.739
Vau_K_07,7,Kampen,Field,July,18.33,11,0.667,3.2,0.684,0.929,0
Vau_K_07,7,Kampen,Field,July,18.33,60,0.667,18.1,0.718,0.966,0
Vau_K_07,7,Kampen,Field,July,18.33,100,0.667,30.9,0.737,1,0
Vau_K_07,7,Kampen,Field,July,18.33,170,0.667,52.1,0.73,1,0
Vau_K_07,7,Kampen,Field,July,18.33,270,0.667,80.6,0.711,1,0
Vau_K_07,7,Kampen,Field,July,18.33,420,0.667,112.7,0.639,0.92,0
Vau_K_07,7,Kampen,Field,July,18.33,600,0.667,148.2,0.588,0.87,0.08
Vau_K_07,7,Kampen,Field,July,18.33,970,0.667,223.4,0.548,0.85,0.2
Vau_K_07,7,Kampen,Field,July,18.33,1410,0.667,285.1,0.481,0.812,0.36
Vau_K_07,7,Kampen,Field,July,18.33,2110,0.667,295.4,0.333,0.7,0.6
