Sample,Day,Treat,Rep,Temp,FvFm
,3,C,1,6,0.681
,3,C,2,6,0.682
,3,C,3,6,0.807
,3,C,4,6,0.843
,3,C,5,6,0.728
,3,C,6,6,0.754
,3,C,7,6,0.773
,3,C,8,6,0.618
,3,C,9,6,0.713
,3,C,10,6,0.616
,3,C,11,6,0.588
,3,C,12,6,0.664
,7,C,1,6,0.672
,7,C,2,6,0.861
,7,C,3,6,0.796
,7,C,4,6,0.77
,7,C,5,6,0.833
,7,C,6,6,0.821
,7,C,7,6,0.844
,7,C,8,6,0.702
,7,C,9,6,0.808
,7,C,10,6,0.789
,7,C,11,6,0.725
,7,C,12,6,0.572
,3,C,1,8,0.827
,3,C,2,8,0.883
,3,C,3,8,0.637
,3,C,4,8,0.767
,3,C,5,8,0.759
,3,C,6,8,0.834
,3,C,7,8,0.756
,3,C,8,8,0.803
,3,C,9,8,0.757
,3,C,10,8,0.775
,3,C,11,8,0.774
,3,C,12,8,0.641
,7,C,1,8,0.84
,7,C,2,8,0.648
,7,C,3,8,0.835
,7,C,4,8,0.737
,7,C,5,8,0.833
,7,C,6,8,0.809
,7,C,7,8,0.766
,7,C,8,8,0.581
,7,C,9,8,0.655
,7,C,10,8,0.777
,7,C,11,8,0.68
,7,C,12,8,0.771
,3,C,1,10,
,3,C,2,10,
,3,C,3,10,
,3,C,4,10,
,3,C,5,10,
,3,C,6,10,
,3,C,7,10,
,3,C,8,10,
,3,C,9,10,
,3,C,10,10,
,3,C,11,10,
,3,C,12,10,
,7,C,1,10,
,7,C,2,10,
,7,C,3,10,
,7,C,4,10,
,7,C,5,10,
,7,C,6,10,
,7,C,7,10,
,7,C,8,10,
,7,C,9,10,
,7,C,10,10,
,7,C,11,10,
,7,C,12,10,
,3,C,1,12,0.855
,3,C,2,12,0.846
,3,C,3,12,0.896
,3,C,4,12,0.881
,3,C,5,12,0.847
,3,C,6,12,0.884
,3,C,7,12,0.873
,3,C,8,12,0.583
,3,C,9,12,0.856
,3,C,10,12,0.871
,3,C,11,12,0.884
,3,C,12,12,0.884
,7,C,1,12,0.719
,7,C,2,12,0.847
,7,C,3,12,0.829
,7,C,4,12,0.679
,7,C,5,12,0.771
,7,C,6,12,0.731
,7,C,7,12,0.71
,7,C,8,12,0.684
,7,C,9,12,0.663
,7,C,10,12,0.668
,7,C,11,12,0.685
,7,C,12,12,0.708
,3,C,1,14,
,3,C,2,14,
,3,C,3,14,
,3,C,4,14,
,3,C,5,14,
,3,C,6,14,
,3,C,7,14,
,3,C,8,14,
,3,C,9,14,
,3,C,10,14,
,3,C,11,14,
,3,C,12,14,
,7,C,1,14,0.624
,7,C,2,14,0.874
,7,C,3,14,0.905
,7,C,4,14,0.898
,7,C,5,14,0.816
,7,C,6,14,0.902
,7,C,7,14,0.885
,7,C,8,14,0.896
,7,C,9,14,0.898
,7,C,10,14,0.905
,7,C,11,14,0.891
,7,C,12,14,0.901
,3,H,1,14,
,3,H,2,14,
,3,H,3,14,
,3,H,4,14,
,3,H,5,14,
,3,H,6,14,
,3,H,7,14,
,3,H,8,14,
,3,H,9,14,
,3,H,10,14,
,3,H,11,14,
,3,H,12,14,
,7,H,1,14,0.79
,7,H,2,14,0.905
,7,H,3,14,0.899
,7,H,4,14,0.854
,7,H,5,14,0.874
,7,H,6,14,0.825
,7,H,7,14,0.859
,7,H,8,14,0.858
,7,H,9,14,0.863
,7,H,10,14,0.855
,7,H,11,14,0.841
,7,H,12,14,0.885
,3,H,1,16,0.905
,3,H,2,16,0.882
,3,H,3,16,0.893
,3,H,4,16,0.869
,3,H,5,16,0.84
,3,H,6,16,0.891
,3,H,7,16,0.84
,3,H,8,16,0.776
,3,H,9,16,0.883
,3,H,10,16,0.862
,3,H,11,16,0.498
,3,H,12,16,0.835
,7,H,1,16,0.755
,7,H,2,16,0.609
,7,H,3,16,0.816
,7,H,4,16,0.799
,7,H,5,16,0.741
,7,H,6,16,0.683
,7,H,7,16,0.797
,7,H,8,16,0.717
,7,H,9,16,0.802
,7,H,10,16,0.687
,7,H,11,16,0.648
,7,H,12,16,0.658
,3,H,1,18,
,3,H,2,18,
,3,H,3,18,
,3,H,4,18,
,3,H,5,18,
,3,H,6,18,
,3,H,7,18,
,3,H,8,18,
,3,H,9,18,
,3,H,10,18,
,3,H,11,18,
,3,H,12,18,
,7,H,1,18,
,7,H,2,18,
,7,H,3,18,
,7,H,4,18,
,7,H,5,18,
,7,H,6,18,
,7,H,7,18,
,7,H,8,18,
,7,H,9,18,
,7,H,10,18,
,7,H,11,18,
,7,H,12,18,
,3,H,1,20,0.897
,3,H,2,20,0.743
,3,H,3,20,0.787
,3,H,4,20,0.883
,3,H,5,20,0.762
,3,H,6,20,0.731
,3,H,7,20,0.871
,3,H,8,20,0.844
,3,H,9,20,0.753
,3,H,10,20,NA
,3,H,11,20,0.742
,3,H,12,20,0.806
,7,H,1,20,0.84
,7,H,2,20,0.878
,7,H,3,20,0.746
,7,H,4,20,0.669
,7,H,5,20,0.772
,7,H,6,20,0.775
,7,H,7,20,0.824
,7,H,8,20,0.884
