Sample,Site,Year,Month,Rep,Biomass (g),Pigment ,ESTD Conc (µg/100µl),Sample Conc (µg)
a_vau_21_010223,Kampen,2022,July,1,0.025,Chlorophyll c2,0.637,25.48
a_vau_21_010223,Kampen,2022,July,1,0.025,Fucoxanthin,0.755,30.2
a_vau_21_010223,Kampen,2022,July,1,0.025,Violaxanthin,0.188,7.52
a_vau_21_010223,Kampen,2022,July,1,0.025,Diadinoxanthin,2.922,116.88
a_vau_21_010223,Kampen,2022,July,1,0.025,Diatoxanthin,0.569,22.76
a_vau_21_010223,Kampen,2022,July,1,0.025,Chlorophyll b,2.82,112.8
a_vau_21_010223,Kampen,2022,July,1,0.025,Chlorophyll a,11.574,462.96
a_vau_21_010223,Kampen,2022,July,1,0.025,ß-Carotin,0.852,34.08
a_vau_21_010223,Kampen,2022,July,1,0.025,Vaucheriaxanthin,2738473,
a_vau_22_010223,Kampen,2022,July,2,0.025,Chlorophyll c2,0.619,24.76
a_vau_22_010223,Kampen,2022,July,2,0.025,Fucoxanthin,0.754,30.16
a_vau_22_010223,Kampen,2022,July,2,0.025,Violaxanthin,0.187,7.48
a_vau_22_010223,Kampen,2022,July,2,0.025,Diadinoxanthin,2.912,116.48
a_vau_22_010223,Kampen,2022,July,2,0.025,Diatoxanthin,0.563,22.52
a_vau_22_010223,Kampen,2022,July,2,0.025,Chlorophyll b,2.811,112.44
a_vau_22_010223,Kampen,2022,July,2,0.025,Chlorophyll a,11.56,462.4
a_vau_22_010223,Kampen,2022,July,2,0.025,ß-Carotin,0.873,34.92
a_vau_22_010223,Kampen,2022,July,2,0.025,Vaucheriaxanthin,2845469,
a_vau_23_010223,Kampen,2022,July,3,0.025,Chlorophyll c2,0.688,27.52
a_vau_23_010223,Kampen,2022,July,3,0.025,Fucoxanthin,0.833,33.32
a_vau_23_010223,Kampen,2022,July,3,0.025,Violaxanthin,0.207,8.28
a_vau_23_010223,Kampen,2022,July,3,0.025,Diadinoxanthin,3.184,127.36
a_vau_23_010223,Kampen,2022,July,3,0.025,Diatoxanthin,0.616,24.64
a_vau_23_010223,Kampen,2022,July,3,0.025,Chlorophyll b,3.105,124.2
a_vau_23_010223,Kampen,2022,July,3,0.025,Chlorophyll a,12.063,482.52
a_vau_23_010223,Kampen,2022,July,3,0.025,ß-Carotin,0.964,38.56
a_vau_23_010223,Kampen,2022,July,3,0.025,Vaucheriaxanthin,3212359,
a_vau_24_010223,Kampen,2022,July,4,0.025,Chlorophyll c2,0.629,25.16
a_vau_24_010223,Kampen,2022,July,4,0.025,Fucoxanthin,0.769,30.76
a_vau_24_010223,Kampen,2022,July,4,0.025,Violaxanthin,0.19,7.6
a_vau_24_010223,Kampen,2022,July,4,0.025,Diadinoxanthin,2.945,117.8
a_vau_24_010223,Kampen,2022,July,4,0.025,Diatoxanthin,0.567,22.68
