Sample,Site,Year,Month,Rep,Sum,Perc,Perc_val
a_vau_21_010223,Kampen,2022,July,1,669.68,chla/total,0.691315255
a_vau_21_010223,Kampen,2022,July,1,669.68,vdd/total,0.219746745
a_vau_21_010223,Kampen,2022,July,1,669.68,chl/total,0.729363278
a_vau_21_010223,Kampen,2022,July,1,669.68,chl/vdd,3.319108453
a_vau_22_010223,Kampen,2022,July,2,668.56,chla/total,0.691635754
a_vau_22_010223,Kampen,2022,July,2,668.56,vdd/total,0.219097762
a_vau_22_010223,Kampen,2022,July,2,668.56,chl/total,0.728670576
a_vau_22_010223,Kampen,2022,July,2,668.56,chl/vdd,3.325778263
a_vau_23_010223,Kampen,2022,July,3,708.88,chla/total,0.680679382
a_vau_23_010223,Kampen,2022,July,3,708.88,vdd/total,0.226103149
a_vau_23_010223,Kampen,2022,July,3,708.88,chl/total,0.719501185
a_vau_23_010223,Kampen,2022,July,3,708.88,chl/vdd,3.182181183
a_vau_24_010223,Kampen,2022,July,4,674.12,chla/total,0.690796891
a_vau_24_010223,Kampen,2022,July,4,674.12,vdd/total,0.219664155
a_vau_24_010223,Kampen,2022,July,4,674.12,chl/total,0.728119623
a_vau_24_010223,Kampen,2022,July,4,674.12,chl/vdd,3.31469476
a_vau_25_010223,Kampen,2022,July,5,702.96,chla/total,0.683395926
a_vau_25_010223,Kampen,2022,July,5,702.96,vdd/total,0.224593149
a_vau_25_010223,Kampen,2022,July,5,702.96,chl/total,0.72157733
a_vau_25_010223,Kampen,2022,July,5,702.96,chl/vdd,3.212819863
a_vau_26_010223,List,2022,July,1,555.68,chla/total,0.740930032
a_vau_26_010223,List,2022,July,1,555.68,vdd/total,0.165562914
a_vau_26_010223,List,2022,July,1,555.68,chl/total,0.785056147
a_vau_26_010223,List,2022,July,1,555.68,chl/vdd,4.74173913
a_vau_27_010223,List,2022,July,2,576.64,chla/total,0.736612098
a_vau_27_010223,List,2022,July,2,576.64,vdd/total,0.167522198
a_vau_27_010223,List,2022,July,2,576.64,chl/total,0.781770255
a_vau_27_010223,List,2022,July,2,576.64,chl/vdd,4.666666667
a_vau_28_010223,List,2022,July,3,560.48,chla/total,0.740793605
a_vau_28_010223,List,2022,July,3,560.48,vdd/total,0.166428775
a_vau_28_010223,List,2022,July,3,560.48,chl/total,0.784470454
a_vau_28_010223,List,2022,July,3,560.48,chl/vdd,4.7135506
a_vau_29_010223,List,2022,July,4,539.4,chla/total,0.748906192
a_vau_29_010223,List,2022,July,4,539.4,vdd/total,0.16344086
a_vau_29_010223,List,2022,July,4,539.4,chl/total,0.78991472
a_vau_29_010223,List,2022,July,4,539.4,chl/vdd,4.833030853
a_vau_30_010223,List,2022,July,5,559.6,chla/total,0.744031451
a_vau_30_010223,List,2022,July,5,559.6,vdd/total,0.166976412
a_vau_30_010223,List,2022,July,5,559.6,chl/total,0.786275911
a_vau_30_010223,List,2022,July,5,559.6,chl/vdd,4.70890411
a_vau_1_010223,Kampen,2022,September,1,435.92,chla/total,0.785740503
a_vau_1_010223,Kampen,2022,September,1,435.92,vdd/total,0.147274729
a_vau_1_010223,Kampen,2022,September,1,435.92,chl/total,0.831620481
a_vau_1_010223,Kampen,2022,September,1,435.92,chl/vdd,5.646728972
a_vau_2_010223,Kampen,2022,September,2,425.24,chla/total,0.783087198
a_vau_2_010223,Kampen,2022,September,2,425.24,vdd/total,0.148057567
a_vau_2_010223,Kampen,2022,September,2,425.24,chl/total,0.825698429
a_vau_2_010223,Kampen,2022,September,2,425.24,chl/vdd,5.576874206
a_vau_3_010223,Kampen,2022,September,3,445.48,chla/total,0.779114663
a_vau_3_010223,Kampen,2022,September,3,445.48,vdd/total,0.150130197
a_vau_3_010223,Kampen,2022,September,3,445.48,chl/total,0.823740684
a_vau_3_010223,Kampen,2022,September,3,445.48,chl/vdd,5.486842105
a_vau_4_010223,Kampen,2022,September,4,449.08,chla/total,0.78400285
a_vau_4_010223,Kampen,2022,September,4,449.08,vdd/total,0.149193908
a_vau_4_010223,Kampen,2022,September,4,449.08,chl/total,0.830676049
a_vau_4_010223,Kampen,2022,September,4,449.08,chl/vdd,5.567761194
a_vau_5_010223,Kampen,2022,September,5,336.4,chla/total,0.8078478
a_vau_5_010223,Kampen,2022,September,5,336.4,vdd/total,0.131747919
a_vau_5_010223,Kampen,2022,September,5,336.4,chl/total,0.849821641
a_vau_5_010223,Kampen,2022,September,5,336.4,chl/vdd,6.450361011
a_vau_6_010223,List,2022,September,1,474.12,chla/total,0.779802582
a_vau_6_010223,List,2022,September,1,474.12,vdd/total,0.142833038
a_vau_6_010223,List,2022,September,1,474.12,chl/total,0.821817261
a_vau_6_010223,List,2022,September,1,474.12,chl/vdd,5.753691672
a_vau_7_010223,List,2022,September,2,529.96,chla/total,0.764661484
a_vau_7_010223,List,2022,September,2,529.96,vdd/total,0.153596498
a_vau_7_010223,List,2022,September,2,529.96,chl/total,0.810853649
a_vau_7_010223,List,2022,September,2,529.96,chl/vdd,5.279115479
a_vau_8_010223,List,2022,September,3,512.84,chla/total,0.770688714
a_vau_8_010223,List,2022,September,3,512.84,vdd/total,0.149286327
a_vau_8_010223,List,2022,September,3,512.84,chl/total,0.815225021
a_vau_8_010223,List,2022,September,3,512.84,chl/vdd,5.460815047
a_vau_9_010223,List,2022,September,4,522.32,chla/total,0.769566549
a_vau_9_010223,List,2022,September,4,522.32,vdd/total,0.149869812
a_vau_9_010223,List,2022,September,4,522.32,chl/total,0.814060346
a_vau_9_010223,List,2022,September,4,522.32,chl/vdd,5.431783342
a_vau_10_010223,List,2022,September,5,503.08,chla/total,0.774588535
a_vau_10_010223,List,2022,September,5,503.08,vdd/total,0.145265167
a_vau_10_010223,List,2022,September,5,503.08,chl/total,0.819114256
a_vau_10_010223,List,2022,September,5,503.08,chl/vdd,5.638752053
a_vau_11_010223,Kampen,2022,November,1,342.52,chla/total,0.788859045
a_vau_11_010223,Kampen,2022,November,1,342.52,vdd/total,0.146677566
a_vau_11_010223,Kampen,2022,November,1,342.52,chl/total,0.823309588
a_vau_11_010223,Kampen,2022,November,1,342.52,chl/vdd,5.613057325
a_vau_12_010223,Kampen,2022,November,2,280.88,chla/total,0.797493592
a_vau_12_010223,Kampen,2022,November,2,280.88,vdd/total,0.13913415
a_vau_12_010223,Kampen,2022,November,2,280.88,chl/total,0.832099117
a_vau_12_010223,Kampen,2022,November,2,280.88,chl/vdd,5.980552712
a_vau_13_010223,Kampen,2022,November,3,261.88,chla/total,0.802963189
a_vau_13_010223,Kampen,2022,November,3,261.88,vdd/total,0.136092867
a_vau_13_010223,Kampen,2022,November,3,261.88,chl/total,0.839010234
a_vau_13_010223,Kampen,2022,November,3,261.88,chl/vdd,6.164983165
