Sequence : ronny_vaucheria_1_010223									
ESTD concentration : µg/100µl									
									
"2: 440 nm, 4 nm"	Chlorophyll c2	Fucoxanthin	Violaxanthin	Diadinoxanthin	Diatoxanthin	Chlorophyll b	Chlorophyll a	?-Carotin	Vaucheriaxanthinester(AREA)
Sample ID	ESTD Conc	ESTD Conc	ESTD Conc	ESTD Conc	ESTD Conc	ESTD Conc	ESTD Conc	ESTD Conc	ESTD Conc
a_vau_21_010223	0.637	0.755	0.188	2.922	0.569	2.82	11.574	0.852	2738473
a_vau_22_010223	0.619	0.754	0.187	2.912	0.563	2.811	11.56	0.873	2845469
a_vau_23_010223	0.688	0.833	0.207	3.184	0.616	3.105	12.063	0.964	3212359
a_vau_24_010223	0.629	0.769	0.19	2.945	0.567	2.855	11.642	0.88	2789376
a_vau_25_010223	0.671	0.822	0.204	3.138	0.605	3.06	12.01	0.946	3192200
a_vau_26_010223	0.613	1.199	0.136	2.037	0.127	1.885	10.293	0.686	1681127
a_vau_27_010223	0.651	1.302	0.147	2.138	0.13	1.988	10.619	0.731	1672315
a_vau_28_010223	0.612	1.305	0.142	2.072	0.118	1.889	10.38	0.688	1631743
a_vau_29_010223	0.553	1.182	0.132	1.952	0.12	1.841	10.099	0.629	1605036
a_vau_30_010223	0.591	1.292	0.142	2.068	0.126	1.95	10.409	0.654	1666421
a_vau_1_010223	0.5	0.592	0.215	1.201	0.189	0.835	8.563	0.23	1140512
a_vau_2_010223	0.453	0.683	0.101	1.356	0.117	1.405	8.325	0.279	1440028
a_vau_3_010223	0.497	0.732	0.117	1.427	0.128	1.451	8.677	0.291	1492920
a_vau_4_010223	0.524	0.685	0.179	1.352	0.144	1.11	8.802	0.226	1162239
a_vau_5_010223	0.353	0.451	0.131	0.87	0.107	0.682	6.794	0.155	694934
a_vau_6_010223	0.498	0.78	0.091	1.522	0.08	1.574	9.243	0.419	1297989
a_vau_7_010223	0.612	0.859	0.096	1.852	0.087	1.937	10.131	0.471	1618498
a_vau_8_010223	0.571	0.906	0.103	1.724	0.087	1.788	9.881	0.455	1473170
a_vau_9_010223	0.581	0.926	0.105	1.761	0.091	1.835	10.049	0.471	1529254
a_vau_10_010223	0.56	0.892	0.099	1.647	0.081	1.726	9.742	0.448	1562110
a_vau_11_010223	0.295	0.56	0.069	1.019	0.168	1.071	6.755	0.257	978854
a_vau_12_010223	0.243	0.438	0.06	0.798	0.119	0.845	5.6	0.202	863082
a_vau_13_010223	0.236	0.442	0.055	0.719	0.117	0.701	5.257	0.163	655288
a_vau_14_010223	0.242	0.456	0.058	0.711	0.114	0.736	5.314	0.172	638461
a_vau_15_010223	0.238	0.454	0.058	0.74	0.12	0.766	5.368	0.188	673803
a_vau_16_010223	0.112	0.139	0.015	0.105	0.08	0.254	2.891	0.176	106697
a_vau_17_010223	0.122	0.147	0.016	0.114	0.083	0.278	3.113	0.195	112760
a_vau_18_010223	0.107	0.126	0.01	0.09	0.063	0.188	2.596	0.158	90427
a_vau_19_010223	0.115	0.13	0.011	0.097	0.067	0.203	2.713	0.167	105460
a_vau_20_010223	0.097	0.122	0.01	0.089	0.061	0.185	2.514	0.152	97089
