Sequence : Ronny_Vaucheria_1_010223			
			
			
2: 440 nm, 4 nm	Antheraxanthin		Zeaxanthin
Sample ID	ESTD Concentration		ESTD Concentration
a_vau_1_010223	0,137		0,013
a_vau_2_010223	0,102		0,006
a_vau_3_010223	0,138		0,006
a_vau_4_010223	0,152		0,009
a_vau_5_010223	0,116		0,007
a_vau_6_010223	0,016		0,015
a_vau_7_010223	0,018		0,013
a_vau_8_010223	0,018		0,016
a_vau_9_010223	0,019		0,017
a_vau_10_010223	0,017		0,016
a_vau_11_010223	0,191		0,005
a_vau_12_010223	0,141		0,003
a_vau_13_010223	0,156		0,005
a_vau_14_010223	0,156		0,005
a_vau_15_010223	0,151		0,005
a_vau_16_010223	0,031		0,008
a_vau_17_010223	0,034		0,008
a_vau_18_010223	0,028		0,007
a_vau_19_010223	0,029		0,007
a_vau_20_010223	0,027		0,006
a_vau_21_010223	0,049		0,033
a_vau_22_010223	0,049		0,033
a_vau_23_010223	0,054		0,037
a_vau_24_010223	0,049		0,034
a_vau_25_010223	0,052		0,037
a_vau_26_010223	0,022		0,041
a_vau_27_010223	0,023		0,047
a_vau_28_010223	0,024		0,046
a_vau_29_010223	0,021		0,042
a_vau_30_010223	0,023		0,045
